supRegionName,subRegionName,isActive
Big region name,Modis tile part of the region,0
AMAndes,h10v09,1
AMAndes,h10v10,1
AMAndes,h11v10,1
AMAndes,h11v11,1
AMAndes,h11v12,1
AMAndes,h12v12,1
AMAndes,h12v13,1
AMAndes,h13v13,1
AMAndes,h13v14,1
ASHimalaya,h22v04,1
ASHimalaya,h22v05,1
ASHimalaya,h23v04,1
ASHimalaya,h23v05,1
ASHimalaya,h23v06,1
ASHimalaya,h24v04,1
ASHimalaya,h24v05,1
ASHimalaya,h24v06,1
ASHimalaya,h25v05,1
ASHimalaya,h25v06,1
ASHimalaya,h26v05,1
ASHimalaya,h26v06,1
EURAlps,h18v04,1
EURAlps,h19v04,1
USAlaska,h07v03,0
USAlaska,h08v03,1
USAlaska,h09v02,1
USAlaska,h09v03,1
USAlaska,h10v02,1
USAlaska,h10v03,1
USAlaska,h11v02,1
USAlaska,h11v03,1
USAlaska,h12v01,1
USAlaska,h12v02,1
USAlaska,h13v01,1
USAlaska,h13v02,1
westernUS,h08v04,1
westernUS,h08v05,1
westernUS,h09v04,1
westernUS,h09v05,1
westernUS,h10v04,1
h07v03,h07v03,1
h08v03,h08v03,1
h08v04,h08v04,1
h08v05,h08v05,1
h09v02,h09v02,1
h09v03,h09v03,1
h09v04,h09v04,1
h09v05,h09v05,1
h10v02,h10v02,1
h10v03,h10v03,1
h10v04,h10v04,1
h10v09,h10v09,1
h10v10,h10v10,1
h11v02,h11v02,1
h11v03,h11v03,1
h11v10,h11v10,1
h11v11,h11v11,1
h11v12,h11v12,1
h12v01,h12v01,1
h12v02,h12v02,1
h12v12,h12v12,1
h12v13,h12v13,1
h13v01,h13v01,1
h13v02,h13v02,1
h13v13,h13v13,1
h13v14,h13v14,1
h18v04,h18v04,1
h19v04,h19v04,1
h22v04,h22v04,1
h22v05,h22v05,1
h23v04,h23v04,1
h23v05,h23v05,1
h23v06,h23v06,1
h24v04,h24v04,1
h24v05,h24v05,1
h24v06,h24v06,1
h25v05,h25v05,1
h25v06,h25v06,1
h26v05,h26v05,1
h26v06,h26v06,1
mockRegion,mockTile1,1
mockRegion,mockTile2,1
mockTile1,mockTile1,1
mockTile2,mockTile2,1
